location,scenario,future_period,gcm,temp_metric_name,temp_metric_value,historical_temp_metric_value,temp_deviation_from_historical,temp_rank,temp_class
Canberra,ssp126,2050,ACCESS-CM2,annual_mean_temperature,14.645,13.29,1.355,6,
Canberra,ssp126,2050,CESM2,annual_mean_temperature,14.885,13.29,1.595,7,hottest
Canberra,ssp126,2070,NorESM2-MM,annual_mean_temperature,13.716,13.29,0.426,1,coolest
Canberra,ssp126,2070,MPI-ESM1-2-HR,annual_mean_temperature,14.126,13.29,0.836,2,
Canberra,ssp126,2070,ACCESS-ESM1-5,annual_mean_temperature,14.342,13.29,1.052,3,
Canberra,ssp126,2070,EC-Earth3,annual_mean_temperature,14.543,13.29,1.253,4,median
Canberra,ssp126,2070,CMCC-ESM2,annual_mean_temperature,14.635,13.29,1.345,5,
Canberra,ssp126,2070,ACCESS-CM2,annual_mean_temperature,14.871,13.29,1.581,6,
Canberra,ssp126,2070,CESM2,annual_mean_temperature,15.269,13.29,1.979,7,hottest
Canberra,ssp370,2030,NorESM2-MM,annual_mean_temperature,13.365,13.29,0.075,1,coolest
Canberra,ssp370,2030,MPI-ESM1-2-HR,annual_mean_temperature,13.787,13.29,0.497,2,
Canberra,ssp370,2030,CMCC-ESM2,annual_mean_temperature,13.997,13.29,0.707,3,
Canberra,ssp370,2030,EC-Earth3,annual_mean_temperature,14.155,13.29,0.865,4,median
Canberra,ssp370,2030,ACCESS-ESM1-5,annual_mean_temperature,14.182,13.29,0.892,5,
Canberra,ssp370,2030,ACCESS-CM2,annual_mean_temperature,14.194,13.29,0.904,6,
Canberra,ssp370,2030,CESM2,annual_mean_temperature,14.568,13.29,1.278,7,hottest
Canberra,ssp370,2050,NorESM2-MM,annual_mean_temperature,14.296,13.29,1.006,1,coolest
Canberra,ssp370,2050,MPI-ESM1-2-HR,annual_mean_temperature,14.637,13.29,1.347,2,
Canberra,ssp370,2050,EC-Earth3,annual_mean_temperature,14.725,13.29,1.435,3,
Canberra,ssp370,2050,CMCC-ESM2,annual_mean_temperature,14.823,13.29,1.533,4,median
Canberra,ssp370,2050,ACCESS-ESM1-5,annual_mean_temperature,15.098,13.29,1.808,5,
Canberra,ssp370,2050,ACCESS-CM2,annual_mean_temperature,15.262,13.29,1.972,6,
Canberra,ssp370,2050,CESM2,annual_mean_temperature,15.568,13.29,2.277,7,hottest
Canberra,ssp370,2070,NorESM2-MM,annual_mean_temperature,15.067,13.29,1.777,1,coolest
Canberra,ssp370,2070,MPI-ESM1-2-HR,annual_mean_temperature,15.327,13.29,2.037,2,
Canberra,ssp370,2070,CMCC-ESM2,annual_mean_temperature,15.704,13.29,2.414,3,
Canberra,ssp370,2070,ACCESS-ESM1-5,annual_mean_temperature,15.718,13.29,2.428,4,median
Canberra,ssp370,2070,EC-Earth3,annual_mean_temperature,15.862,13.29,2.572,5,
Canberra,ssp370,2070,ACCESS-CM2,annual_mean_temperature,16.453,13.29,3.163,6,
Canberra,ssp370,2070,CESM2,annual_mean_temperature,16.738,13.29,3.447,7,hottest
Darwin,ssp126,2030,CMCC-ESM2,annual_mean_temperature,27.554,27.138,0.416,1,coolest
Darwin,ssp126,2030,MPI-ESM1-2-HR,annual_mean_temperature,27.7,27.138,0.561,2,
Darwin,ssp126,2030,EC-Earth3,annual_mean_temperature,27.825,27.138,0.687,3,
Darwin,ssp126,2030,NorESM2-MM,annual_mean_temperature,27.828,27.138,0.689,4,median
Darwin,ssp126,2030,ACCESS-CM2,annual_mean_temperature,27.9,27.138,0.762,5,
Darwin,ssp126,2030,CESM2,annual_mean_temperature,27.98,27.138,0.842,6,
Darwin,ssp126,2030,ACCESS-ESM1-5,annual_mean_temperature,27.998,27.138,0.86,7,hottest
